Latitude,Longitude
32.4532912833,-88.6246878833
32.37555845782428,-88.76407247532711
33.529827175238,-86.86762276059
32.20797624701091,-88.77599864567397
32.37011744656179,-88.80388632933482
32.395492136979996,-89.05699453899997
31.94226275542228,-89.0928795264343
32.21894291754566,-88.75626842399829
34.213127404792,-90.66020193577594
32.20835788813077,-88.83234272233842
32.362433534970585,-88.72278277037356
32.426222541377605,-88.70059003154137
32.80967700118657,-103.13410624941595
31.286844497152,-88.224129247984
32.14100623205555,-86.95614839153333
32.39702031906335,-88.70446351663941
33.037506537567985,-88.72037213816799
31.790449706576,-88.80395470164801
32.285415325104985,-88.87679357553007
32.407487959071986,-88.80477505163738
31.667965618537988,-89.27864394334198
34.5811493463875,-91.7231135555375
31.669397690846672,-89.05068031726667
32.460556033419216,-88.59163413705839
32.38376936239102,-88.70565545530997
33.71228972017066,-89.35169061345734
32.82042359087702,-89.22365311229203
31.761878206076478,-88.76677807896763
32.56621004996268,-89.92414600156273
34.473404837130644,-87.15450356066206
32.414262477416,-88.57171618127597
32.33920743061583,-88.66777390164509
33.77842559765715,-113.41041411285713
30.29576631946599,-97.81918759265713
31.23770271210811,-98.53570017097162
31.275172728088,-97.386830781816
30.316835228927275,-97.77574404297272
30.336217484151717,-97.86043930259147
30.632413512331947,-98.21470571118685
30.279159926368013,-97.810567628376
30.515546096403998,-97.74150839914398
32.53060412831666,-97.19892102639686
30.281521788552,-97.79671517770402
36.353428917704,-96.28880122869197
30.410919313764,-97.21792109228001
30.291159655159998,-97.79668968309599
30.275370257562003,-97.79313559172195
30.27190219848,-97.790304080378
30.664633133550005,-97.64525333344999
30.282065536855544,-97.7819978967222
33.490494882666674,-94.66539540543334
30.273175654924017,-97.80362419572882
30.53707847214161,-97.50737930253807
30.47194410628418,-97.88860026641555
30.327878139963964,-97.80818085610274
30.298084805522226,-97.8522776789667
30.29505622044444,-97.75190816916219
30.28637690332259,-97.80994385266771
30.493373320644,-97.77127997895
30.23356405570248,-97.60957743361996
40.30267580933799,-74.91101792389601
