Source,Destination
4,235
4,405
4,464
4,3528
8,4231
9,10
10,9
10,11
10,300
11,9
11,10
14,4346
20,3660
23,2592
23,5003
23,5040
23,5045
23,5046
24,0
26,477
26,5097
26,5101
26,5112
26,5113
28,193
29,5186
30,5215
31,7
31,29
34,84
34,345
34,4107
34,4331
34,5065
34,5312
34,5316
34,5334
34,5344
34,5348
36,5396
37,5419
40,34
41,5732
42,40
42,5580
43,5833
48,6076
49,0
49,135
49,296
49,406
49,479
49,485
49,488
49,4198
52,7
52,31
52,6111
55,3826
57,6345
58,26
58,5112
58,5113
60,6054
61,0
62,34
62,58
63,24
63,58
64,192
64,591
64,5162
65,51
65,63
66,7
67,6797
67,6805
67,6889
67,6951
67,7009
68,31
69,7211
73,21
73,71
75,411
76,43
77,387
77,3736
77,3998
77,5145
79,40
79,42
80,4198
81,24
81,51
81,58
81,65
81,363
81,476
81,494
81,5050
81,5287
81,5326
81,6578
82,61
83,52
83,6111
83,6142
84,34
84,499
84,2286
84,2414
84,4107
84,5322
84,7557
84,7933
85,4385
85,7946
86,15
86,78
86,84
86,294
86,4371
86,4450
86,5550
86,7304
88,7
88,31
88,52
89,20
89,31
89,4072
90,0
90,387
90,8134
92,58
92,62
92,108
92,4353
92,4375
92,5076
92,5086
92,5101
92,5552
92,6382
92,6386
92,6389
93,34
94,29
94,31
95,13
95,55
95,6230
96,65
97,7
98,7
98,29
98,31
98,52
98,66
98,68
98,88
98,97
98,4893
98,6112
99,40
99,42
99,63
99,93
99,95
99,5065
99,5547
99,5580
99,8403
100,68
100,97
106,58
106,92
106,290
106,593
107,49
107,75
108,58
108,92
108,106
108,370
108,4353
108,5076
108,5101
108,6389
109,66
109,148
109,156
109,387
109,3864
109,4185
110,142
110,339
111,31
111,73
111,100
112,84
113,0
113,1490
113,3740
114,68
116,30
116,56
116,90
116,109
119,82
121,116
121,3776
121,3908
121,5603
121,9144
122,27
123,0
123,14
123,62
123,106
123,4346
124,85
124,113
125,20
125,89
125,3661
125,3710
125,4072
125,8078
125,8111
125,8118
125,9273
125,9285
126,62
127,75
127,93
127,96
127,107
128,9328
128,9333
131,9351
131,9352
133,19
133,49
133,51
133,75
133,80
133,98
133,107
133,195
135,19
135,49
135,51
135,55
135,75
135,80
135,89
135,97
135,98
135,107
135,116
135,133
136,73
136,9532
136,9537
138,94
138,98
139,43
139,51
139,63
139,65
139,81
139,99
140,56
140,116
140,9707
141,5
141,77
141,116
141,121
141,387
141,3619
141,3715
141,4005
141,4065
141,8715
141,8721
142,110
142,4190
142,9760
143,54
143,141
143,3844
143,4146
143,8715
143,9797
143,9802
143,9808
143,9819
144,95
144,96
146,147
146,421
147,146
147,421
147,543
148,30
148,77
148,109
148,116
148,141
148,143
148,387
150,68
151,40
151,59
151,116
151,140
151,8139
153,141
153,3840
153,9959
153,10167
154,41
156,77
156,109
156,116
156,141
156,148
156,387
156,424
157,92
157,10323
158,10378
158,10413
161,40
161,600
161,5580
163,27
170,169
172,98
174,56
176,18
176,177
177,18
177,176
179,11370
180,30
180,116
180,148
180,156
181,34
181,66
181,116
181,345
181,11402
181,11426
184,37
184,55
184,101
184,140
184,144
184,11634
188,18
188,20
188,55
188,60
188,63
188,65
188,99
188,139
189,151
189,174
189,181
189,11804
190,56
190,59
190,177
190,181
190,189
190,6326
190,9532
191,4
191,464
192,28
192,51
192,64
192,193
192,299
192,306
192,512
193,28
193,192
193,591
193,5162
193,5164
193,7226
193,11851
194,107
194,135
194,479
194,4198
194,8628
195,133
195,135
