Source,Destination
10,9
11,9
86,78
107,49
108,106
138,98
142,110
147,146
148,109
151,59
156,77
156,109
163,27
177,176
193,28
195,133
206,29
233,109
234,4
235,4
239,136
251,126
252,208
258,136
258,190
261,141
272,100
283,282
290,197
303,141
306,192
316,136
316,258
323,141
339,110
339,263
345,181
350,335
363,81
384,56
384,258
384,316
387,156
393,258
394,386
396,56
396,258
396,316
396,321
396,384
405,4
411,75
415,253
416,34
416,84
418,232
419,227
420,107
420,339
421,146
421,147
424,141
424,303
425,258
425,316
427,399
430,319
434,27
438,112
442,257
446,100
446,200
446,272
447,423
448,423
448,447
452,148
452,227
456,350
460,59
460,136
460,189
460,190
460,239
460,258
461,263
461,339
464,4
464,191
467,26
467,108
470,318
470,426
476,363
477,26
477,106
477,108
477,467
479,49
479,107
479,194
479,368
481,192
481,299
481,306
485,80
489,73
494,253
494,363
497,24
499,42
499,99
499,416
504,251
507,316
512,192
534,343
536,283
538,157
538,467
538,477
539,271
542,142
542,263
542,339
542,400
542,461
543,147
546,316
551,31
556,316
561,500
562,560
565,257
566,19
566,565
582,260
584,402
591,28
591,64
591,193
591,299
591,306
591,315
591,369
591,481
593,106
593,126
593,413
593,470
593,477
600,161
602,234
603,392
612,343
614,60
614,219
614,402
614,584
626,475
688,687
763,755
770,657
804,662
804,728
807,746
845,381
845,626
860,341
906,905
927,786
992,991
1002,906
1019,222
1028,943
1051,158
1067,626
1121,686
1148,1080
1206,930
1215,1176
1269,372
1274,774
1280,200
1280,1279
1287,720
1298,1280
1345,1113
1363,1330
1403,1287
1410,1144
1411,665
1422,1032
1449,930
1490,113
1521,1491
1529,646
1542,626
1567,276
1591,17
1622,1621
1623,1452
1630,946
1650,1647
1661,720
1663,614
1705,1517
1706,1419
1717,665
1717,1429
1735,1622
1744,1517
1752,1479
1784,276
1784,1748
1787,782
1800,1761
1805,483
1810,1541
1816,1798
1827,1440
1860,1576
1868,1867
1872,1454
1893,1706
1895,1234
1919,1519
1922,1076
1924,484
1956,1622
1975,1961
1987,1735
1997,1423
2015,728
2021,1800
2028,44
2028,1485
2028,1657
2028,1784
2032,1640
2035,2034
2045,1957
2052,1990
2059,1359
2065,991
2065,992
2066,1800
2091,1974
2109,1574
2109,1732
2111,1902
2112,716
2139,1845
2139,1967
2146,1574
2148,2147
2155,1517
2160,831
2164,999
2173,1517
2184,1655
2194,1867
2195,1490
2195,1640
2197,1546
2203,1760
2203,2184
2227,2028
2229,1537
2229,1800
2242,1747
2260,1973
2270,1757
2276,2084
2280,811
2280,1121
2286,416
2286,499
2286,523
2292,860
2307,1434
2314,1931
2323,1735
2323,1987
2327,665
2327,1429
2333,1434
2333,2054
2333,2307
2348,860
2348,2292
2352,1098
2353,1121
2357,1403
2381,1959
2382,1566
2389,2366
2390,842
2390,1783
2424,1591
2429,1899
2429,2171
2433,1783
2448,1242
2512,2347
2517,1800
2548,2547
2559,1800
2566,2005
2578,2246
2599,989
2619,1021
2634,1974
2636,1682
2643,2021
2673,2671
2674,2279
2689,2688
2698,2184
2715,2713
2755,85
2787,1860
2810,626
2841,226
2841,1325
2845,1772
2858,2457
2861,242
2877,1435
2878,2335
2908,1676
2910,2028
2926,2843
2986,2985
2998,309
3012,60
3012,219
3025,2582
3036,2646
3046,2262
3070,2337
3078,341
3078,860
3086,77
3086,424
3094,2421
3108,2203
3122,2773
3157,1550
3157,1860
3161,1466
3162,1630
3167,1757
3178,2934
3184,2777
3199,48
3199,2553
3200,2058
3247,616
3250,1004
3253,804
3287,30
3288,2308
3288,3157
3316,2332
3326,2247
3332,1800
3332,2021
3362,1473
3362,2024
3392,2826
3396,3395
3400,3399
3401,720
3417,3358
3440,3121
3444,2841
3458,1573
3463,201
3476,2462
3493,2882
3496,2112
3498,1134
3526,748
3526,3490
3528,4
3528,234
3532,234
3532,405
3532,3528
3535,3531
3536,3532
3537,3528
3537,3529
3538,234
3538,405
3538,602
3538,3529
3538,3537
3539,235
3539,3528
3539,3532
3540,3531
3540,3535
3541,394
3545,3529
3545,3531
3545,3538
3547,3539
3557,266
3557,323
3557,438
3557,1773
3560,1473
3560,1784
3563,928
3568,495
3568,1186
3571,1805
3571,3568
3575,2781
3576,483
3576,495
3576,1186
3576,3571
3584,1805
3596,3288
3598,2028
3598,2139
3602,2429
3605,1490
3608,1947
3611,153
3611,498
3619,141
3626,1484
3626,2102
3626,2195
3633,1848
3633,1860
3633,3626
3634,260
3638,260
3639,483
3641,1784
3643,3639
3644,3603
3646,495
3646,1186
3646,3571
3646,3639
3647,18
3647,3094
3647,3600
3655,261
3660,20
3660,89
3669,276
3669,1748
3675,424
3679,2517
3679,2867
3684,3639
3686,156
3689,3557
3689,3571
3691,141
3691,303
3691,3086
3691,3675
3694,141
3694,303
3700,1696
3701,2195
3702,141
3702,203
3707,203
3708,1657
3708,1784
3708,3560
3708,3644
3709,303
3709,2721
3709,3646
3709,3694
3710,89
3710,3660
3710,3661
3710,3690
3712,203
