UserID,Latitude,Longitude
0,33.558308214748436,-97.89460087113115
2,35.6596167628809,-120.01671622052947
4,37.77843898827625,-122.42321577283725
5,32.29006933040201,-96.12300789727198
7,30.275578981001328,-97.743217672248
8,38.349209612384,-112.6790218179
9,38.91687326134333,-94.74958263925734
10,38.91859888324504,-94.73956413542001
11,28.900502144896006,-83.31630489901599
13,44.46984123357467,-99.2621977866533
14,38.08020648941,-100.62097849954
15,38.263517589260154,-95.28049287054151
16,40.00928481432831,-82.18991061773963
17,35.325931750288426,-89.90343605247683
18,33.13996552660305,-117.24221429363764
19,30.849851754117996,-99.94601480566755
20,35.673096744,-88.00091934465237
21,34.01160455954401,-116.13033420010403
22,39.455608733126276,-81.50425343712938
23,41.385490784804,-76.183817568912
24,38.0629148431,-110.64628746119999
25,37.79359403849713,-122.28161436114974
26,35.159178947115386,-114.46751053653462
27,30.620390674126263,-98.12676694502568
28,39.48824930576721,-94.82526804031839
29,35.059806674560996,-88.8238610825122
30,34.288335888788,-106.29750663419998
31,30.947156184300006,-97.20888738728596
32,30.227378237167706,-97.63627541494084
34,39.692535797203995,-96.75611461844797
35,33.45597260100016,-95.68029477948414
36,46.57981455435384,-114.90141457840771
37,39.76549890855,-86.1573161766
39,37.78288112495263,-116.53440190862634
40,40.791079407624004,-80.1350094304
41,32.23074607656157,-94.61218721999806
42,33.996457501583315,-101.37293997889242
43,34.2713463774625,-117.44534994775832
44,39.43956610893562,-82.77513323140552
47,36.92302967611666,-96.55573257139999
48,31.545681291993336,-93.38569745297335
49,39.14182353015143,-93.24067450806571
50,42.15700503552858,-86.48164182431428
51,38.99916990193798,-92.39372090958199
52,32.48082987638413,-95.59041979655451
53,37.76954797295898,-119.52638923084265
54,32.868516301505935,-92.50735224092973
55,39.98364192800401,-105.263178039072
56,46.566965052583335,-122.51038866715
57,47.48965113071112,-106.80192482213333
58,34.370363342071435,-112.04555174781429
59,38.64795552602,-86.90633314916401
60,35.62591551177599,-97.57156947353599
61,41.15321154372499,-81.38635898335
62,37.68568408192117,-109.43527578094528
63,37.37198886235961,-120.86964163458259
