Source,Destination
10,9
11,9
11,10
81,51
84,34
86,78
86,84
98,7
107,49
108,106
123,14
135,49
135,98
138,98
142,110
147,146
148,77
148,109
151,59
156,77
156,109
156,148
163,27
177,176
189,151
190,56
190,189
192,51
192,64
193,28
193,192
195,133
195,142
206,29
233,109
234,4
235,4
239,136
239,177
239,189
239,190
251,126
252,208
253,56
256,49
256,51
256,135
256,192
256,195
256,238
257,51
257,195
258,136
258,190
261,141
270,195
272,100
283,282
290,106
290,197
294,86
294,249
296,49
296,107
296,259
299,192
300,10
303,141
306,192
316,136
316,258
316,281
323,141
333,252
333,294
335,98
339,110
339,263
343,51
343,195
343,257
345,34
345,181
347,191
347,235
350,7
350,98
350,335
363,81
368,107
368,135
368,136
368,239
370,108
370,157
384,56
384,258
384,316
387,30
387,77
387,90
387,109
387,141
387,148
387,156
387,233
387,303
390,107
392,286
393,258
394,386
396,56
396,221
396,253
396,258
396,316
396,321
396,384
405,4
405,191
406,49
406,107
406,135
406,136
406,194
406,239
406,256
406,368
411,75
415,42
415,56
415,253
415,280
415,396
416,34
416,84
418,232
419,227
419,387
420,107
420,339
421,146
421,147
424,141
424,156
424,303
424,387
425,258
425,316
426,318
427,130
427,399
430,56
430,319
434,27
434,163
438,112
442,257
446,100
446,200
446,272
447,423
448,423
448,447
452,148
452,156
452,227
452,387
456,350
460,59
460,136
460,189
460,190
460,239
460,258
461,263
461,339
463,14
464,4
464,191
464,347
467,26
467,108
470,318
470,426
476,81
476,99
476,238
476,363
477,26
477,106
477,108
477,370
477,467
479,49
479,107
479,135
479,194
479,286
479,296
479,368
479,406
481,192
481,299
481,306
485,49
485,80
485,479
488,49
488,107
488,135
488,256
488,300
488,406
489,73
494,81
494,253
494,363
497,24
499,42
499,84
499,99
499,416
504,84
504,251
506,318
507,316
512,192
534,343
536,283
538,157
538,467
538,477
539,77
539,271
539,424
542,142
542,263
542,339
542,400
542,420
542,461
543,147
544,49
544,296
546,316
551,31
551,98
551,212
551,446
551,491
556,316
558,257
558,351
561,500
562,560
565,257
566,19
566,257
566,565
569,256
569,343
569,430
570,296
570,368
570,488
575,123
582,260
584,402
589,147
589,299
591,28
591,64
591,192
591,193
591,299
591,306
591,315
591,369
591,481
591,589
593,106
593,126
593,413
593,426
593,470
593,477
595,84
600,161
602,191
602,234
603,392
612,343
614,60
614,219
614,402
614,584
626,475
688,212
688,687
763,755
770,657
804,662
804,728
807,746
809,212
834,623
845,381
845,626
850,849
860,341
860,809
898,850
903,804
906,905
927,786
991,770
992,991
993,735
1002,906
1011,244
1019,222
1028,943
1051,158
1067,626
1076,626
1098,688
1121,686
1121,1011
1144,900
1148,1080
1153,1080
1206,930
1215,1176
1252,626
1252,845
1269,372
1269,770
1269,903
1269,971
1274,774
1280,200
1280,446
1280,898
1280,1279
1287,720
1298,1280
1307,1280
1345,1113
1359,1005
1363,1330
1403,1287
1406,1144
1407,1176
1410,1144
1411,665
1411,770
1422,1032
1449,930
1452,1165
1490,113
1521,1491
1529,646
1534,626
1542,626
1550,296
1550,657
1567,276
1591,17
1622,1621
1623,1011
1623,1452
1630,946
1650,1647
1661,720
1663,614
1665,424
1695,560
1705,1517
1706,1419
1709,1625
1717,665
1717,1429
1735,1622
1744,1517
1748,276
1752,1479
1761,1709
1784,276
1784,1748
1787,782
1800,1761
1801,1622
1805,483
1810,1541
1816,1798
1827,1440
1860,1576
1861,461
1867,1517
1868,1867
1872,1454
1891,1256
1893,1706
1895,1234
1896,834
1916,1867
1919,1032
1919,1359
1919,1519
1922,551
1922,626
1922,845
1922,1076
1924,484
1942,84
1942,1622
1956,1622
1959,900
1959,1080
1959,1543
1975,1961
1987,1622
1987,1735
1987,1904
1997,1423
2004,1607
2015,728
2020,623
2020,1153
2021,1800
2028,44
2028,205
2028,1485
2028,1657
2028,1665
2028,1784
2032,1640
2035,2034
2041,1607
2045,1957
2052,799
2052,1990
2056,1440
2059,1359
2065,991
2065,992
2066,1800
2076,1743
2091,1974
2109,1574
2109,1732
2111,1902
2112,323
2112,716
2112,989
2121,1019
2121,1814
2126,1909
2139,1845
2139,1967
2146,1517
2146,1574
2146,1732
2146,1966
2148,2147
2155,1517
2157,1517
2160,831
2164,999
2173,1517
2184,1655
2184,1816
2194,1867
2195,1490
2195,1640
2197,1344
2197,1546
2203,1760
2203,2184
2227,2028
2229,1537
2229,1800
2242,1747
2245,595
2245,1816
2260,1407
2260,1867
2260,1973
2260,2052
2270,1757
2276,2084
2279,1716
2279,2072
2280,686
2280,811
2280,1121
2280,1623
2286,84
2286,416
2286,499
2286,523
2292,860
2307,1434
2307,2146
2314,1931
2323,1735
2323,1987
2327,665
2327,1429
2327,1717
2329,1665
2333,1434
2333,1625
2333,1732
2333,1966
2333,2054
2333,2109
2333,2146
2333,2307
2339,1709
2342,943
2348,860
2348,2292
2351,205
2352,1098
2353,1121
2357,1403
2381,1959
2382,1566
2382,1716
2389,2366
2390,842
2390,1783
2414,84
